model,group,range,layer_start,layer_end_exclusive,selected_layers,input_dim,batch_size,seed,best_epoch,validation_AUROC,validation_HALL_AUPR,test_AUROC,test_HALL_AUPR
qwen3_vl_8b,vp_generation,all,0,36,36,144,128,44,38,0.902906973378792,0.6772474617318139,0.9310909090909091,0.7222976066333465
qwen3_vl_8b,vp_generation,all,0,36,36,144,128,45,45,0.904258582864949,0.6720158852471898,0.9328793388429752,0.7275433699152266
internvl_2_5_8b,visual,segment_1,0,5,5,10,128,43,60,0.7474896019013666,0.30837909038647066,0.7257865818392134,0.330987227644259
internvl_2_5_8b,visual,segment_1,0,5,5,10,128,44,85,0.7474054268171915,0.3106874314109663,0.7261856564488144,0.3300352250423899
internvl_2_5_8b,visual,segment_1,0,5,5,10,128,45,57,0.7474598930481282,0.3087588711329604,0.7259485251590515,0.3308529430597516
internvl_2_5_8b,visual,segment_2,5,21,16,32,128,43,32,0.8029065161418103,0.4448124964387583,0.8177761711972239,0.469262837435371
internvl_2_5_8b,visual,segment_2,5,21,16,32,128,44,26,0.8030451574569222,0.44093984518732887,0.8194187391555813,0.47361870048799
internvl_2_5_8b,visual,segment_2,5,21,16,32,128,45,31,0.8054070112893643,0.4391810957146985,0.823074031231926,0.4786916963853112
internvl_2_5_8b,visual,segment_3,21,29,8,16,128,43,35,0.7684442463854229,0.4417369273118542,0.7925187969924812,0.41757486589559917
internvl_2_5_8b,visual,segment_3,21,29,8,16,128,44,26,0.7652208358090711,0.44033223121589166,0.7883545401966455,0.415456477427723
internvl_2_5_8b,visual,segment_3,21,29,8,16,128,45,52,0.7684789067142008,0.43780211764195176,0.7954222093695779,0.42012347290866714
internvl_2_5_8b,visual,segment_4,29,32,3,6,128,43,22,0.7496732026143791,0.4036065385241927,0.7413042220936957,0.42438307927965396
internvl_2_5_8b,visual,segment_4,29,32,3,6,128,44,17,0.7502030104971281,0.40842573879254274,0.7368681318681319,0.4234012372500892
internvl_2_5_8b,visual,segment_4,29,32,3,6,128,45,33,0.7509605862547039,0.40497679660066166,0.744491035280509,0.4237249593584401
internvl_2_5_8b,visual,all,0,32,32,64,128,43,32,0.8403545256486432,0.5163953383181902,0.8572267206477735,0.5285917908698603
internvl_2_5_8b,visual,all,0,32,32,64,128,44,26,0.8388690829867301,0.5199693130029692,0.8549595141700406,0.5306818095972494
internvl_2_5_8b,visual,all,0,32,32,64,128,45,20,0.8376955832838184,0.5180514816647743,0.8512753036437246,0.5205622399959905
internvl_2_5_8b,vp_generation,segment_1,0,5,5,20,128,43,35,0.7560011883541295,0.33523073847938045,0.7997484094852515,0.4590198801623606
internvl_2_5_8b,vp_generation,segment_1,0,5,5,20,128,44,27,0.7527035056446821,0.3313914389890644,0.7946992481203008,0.4410891787968581
internvl_2_5_8b,vp_generation,segment_1,0,5,5,20,128,45,33,0.7569469201822143,0.33534773753834834,0.8030046269519953,0.46159551305427343
internvl_2_5_8b,vp_generation,segment_2,5,21,16,64,128,43,91,0.8231134878193701,0.497350325757069,0.8463302486986697,0.5110289598182409
internvl_2_5_8b,vp_generation,segment_2,5,21,16,64,128,44,51,0.823492275698158,0.5057152983296411,0.8456998264893001,0.5114107225956389
internvl_2_5_8b,vp_generation,segment_2,5,21,16,64,128,45,70,0.8243662111309169,0.5067236180877069,0.8479496818970502,0.5188519791852443
internvl_2_5_8b,vp_generation,segment_3,21,29,8,32,128,43,49,0.8311447811447811,0.48727651942831907,0.8487015615962983,0.4939041153529971
internvl_2_5_8b,vp_generation,segment_3,21,29,8,32,128,44,82,0.830614973262032,0.49076749082459625,0.8480884904569116,0.49248136233553197
internvl_2_5_8b,vp_generation,segment_3,21,29,8,32,128,45,92,0.8297336106159636,0.48957922771200807,0.8507952573742048,0.4955441928472485
internvl_2_5_8b,vp_generation,segment_4,29,32,3,12,128,43,71,0.7580560507031096,0.4073769070370347,0.7620156159629844,0.38557264785825784
internvl_2_5_8b,vp_generation,segment_4,29,32,3,12,128,44,68,0.7567340067340067,0.4026461101862203,0.7620503181029495,0.3860561927830248
internvl_2_5_8b,vp_generation,segment_4,29,32,3,12,128,45,74,0.7573677956030898,0.40339906685786137,0.7610613071139387,0.38493800589453003
internvl_2_5_8b,vp_generation,all,0,32,32,128,128,43,49,0.8606060606060606,0.59083203322226,0.8847397339502603,0.5809955625204257
internvl_2_5_8b,vp_generation,all,0,32,32,128,128,44,29,0.8569419687066746,0.5848472241721814,0.8814141122035858,0.5746187912504345
internvl_2_5_8b,vp_generation,all,0,32,32,128,128,45,37,0.8556446821152703,0.5845666793753606,0.8831839213418161,0.5799293700017378
